Date,Close,High,Low,Open,Volume
2023-01-01,96.8,97.6,96.2,97.0,10264.919
2023-01-02,99.3,100.4,95.5,96.8,41183.038
2023-01-03,99.6,100.4,98.8,99.3,34511.544
2023-01-04,101.5,102.5,99.5,99.6,58636.885
2023-01-05,101.2,103.5,100.6,101.6,60392.462
2023-01-06,101.7,101.9,98.0,101.1,63179.02
2023-01-07,101.4,102.3,101.1,101.6,30203.645
2023-01-08,103.7,104.0,100.8,101.5,52981.958
2023-01-09,106.9,107.9,103.6,103.7,68710.657
2023-01-10,107.4,109.3,105.5,106.8,45513.415
2023-01-11,109.9,110.1,105.5,107.5,41716.031
2023-01-12,119.7,129.4,107.3,109.9,241816.752
2023-01-13,124.6,128.0,117.8,119.6,143625.194
2023-01-14,125.8,131.3,120.0,124.5,163633.929
2023-01-15,124.8,127.5,121.4,125.8,83784.619
2023-01-16,124.2,127.1,119.5,124.9,88029.139
2023-01-17,122.7,125.7,121.8,124.2,53759.085
2023-01-18,118.7,127.5,115.2,122.8,94056.587
2023-01-19,121.6,122.5,118.6,118.6,39384.007
2023-01-20,128.1,128.2,120.4,121.7,56520.949
2023-01-21,128.0,134.2,125.3,128.0,98438.739
2023-01-22,128.6,132.5,127.2,128.0,56391.958
2023-01-23,133.2,138.6,128.4,128.5,96735.208
2023-01-24,128.2,137.2,125.6,133.2,57354.054
2023-01-25,131.8,134.6,125.3,128.2,48990.863
2023-01-26,134.0,135.1,129.5,131.9,46366.219
2023-01-27,135.2,136.4,131.7,133.9,44599.708
2023-01-28,132.7,135.8,131.3,135.2,28534.606
2023-01-29,136.6,138.7,131.9,132.7,51248.781
2023-01-30,131.2,136.7,127.4,136.5,62216.158
2023-01-31,133.3,136.5,130.6,131.2,42244.265
2023-02-01,136.2,136.9,129.8,133.3,50549.855
2023-02-02,136.7,143.6,135.5,136.2,82403.925
2023-02-03,137.9,139.6,136.1,136.8,39249.199
2023-02-04,138.0,140.1,136.4,137.9,31490.903
2023-02-05,134.4,138.3,132.7,138.1,42079.311
2023-02-06,131.5,135.0,130.2,134.4,29789.536
2023-02-07,135.9,137.6,131.2,131.5,41185.683
2023-02-08,131.6,136.8,129.4,135.9,44511.533
2023-02-09,126.6,132.5,121.8,131.5,84390.542
2023-02-10,124.3,130.3,123.8,126.7,47331.035
2023-02-11,124.6,125.4,123.1,124.3,37171.503
2023-02-12,122.9,126.7,121.2,124.7,30304.051
2023-02-13,123.8,124.7,119.7,122.8,64537.554
2023-02-14,126.7,127.2,122.8,123.9,51039.353
2023-02-15,134.8,135.4,125.1,126.7,64483.622
2023-02-16,128.0,135.8,127.6,134.8,61743.174
2023-02-17,133.4,134.7,127.5,127.9,51358.085
2023-02-18,136.2,138.8,133.2,133.4,46251.432
2023-02-19,136.0,141.1,134.6,136.2,58952.375
2023-02-20,145.1,149.1,133.2,136.1,123482.868
2023-02-21,145.3,154.4,142.7,145.0,144377.878
2023-02-22,142.0,145.7,136.8,145.3,49878.017
2023-02-23,138.8,143.8,137.4,141.9,37061.147
2023-02-24,132.7,139.7,130.4,138.7,39473.826
2023-02-25,133.2,135.6,129.5,132.7,39638.761
2023-02-26,136.3,137.5,132.2,133.1,27869.47
2023-02-27,135.2,138.2,133.3,136.3,33727.459
2023-02-28,132.0,135.3,130.5,135.2,37638.507
2023-03-01,134.3,135.9,131.7,132.0,29814.269
2023-03-02,131.8,134.8,129.8,134.3,32693.299
2023-03-03,126.4,131.9,120.0,131.9,51028.14
2023-03-04,124.4,127.2,122.3,126.3,21819.805
2023-03-05,124.0,126.5,123.2,124.3,14793.093
2023-03-06,124.2,125.0,122.1,124.0,22612.199
2023-03-07,122.1,126.0,120.0,124.2,28569.05
2023-03-08,116.6,122.6,114.5,122.2,42494.959
2023-03-09,110.2,118.4,106.4,116.6,51768.299
